# Вкладки                     ; 
󰘵 + [1-9]                     ; Перейти на вкладку [1-9]
󰘵 + T                         ; Открыть новую вкладку
󰘵 + W                         ; Закрыть активную вкладку
󰘵 + N                         ; Открыть новый файл
󰘵 + 󰘶 + T                     ; Отменить закрытие вкладки
󰘵 + 󰘶 + N                     ; Открыть новый файл в области справа
󰘵 + 󰌎 + →                     ; Перейти вперед
󰘵 + 󰌎 + ←                     ; Вернуться назад

# Форматирование              ; 
F2                            ; Переименовать файл
󰘵 + B                         ; Сделать выделение - жирным
󰘵 + /                         ; Сделать выделение - комментарием
󰘵 + I                         ; Сделать выделение - курсивным
󰌎 + 󰘶 + S                     ; Создать список
󰘵 + .                         ; Добавить свойство файла
󰘵 + L                         ; Переключить состояние флажка
󰘵 + K                         ; Вставить ссылку
󰘵 + D                         ; Удалить абзац
󰘵 + →                         ; Начать запись диктофона
󰘵 + ←                         ; Закончить запись диктофона
󰌎 + H                         ; Добавить цветное выделение

# Система                     ; 
󰘵 + 󰘶                         ; Свернуть/Развернуть боковую панель
󰘵 + G                         ; Открыть граф
󰘵 + ,                         ; Открыть настройки
󰘵 + P                         ; Открыть палитру команд
󰘵 + E                         ; Изменить отображение файла
󰘵 + F                         ; Поиск в активном файле
󰘵 + 󰘶 + F                     ; Поиск во всех файлах
󰘵 + H                         ; Поиск и замена в активном файле
󰌎 + 󰌑                         ; Открыть ссылку под курсором
󰘵 + 󰌑                         ; Открыть ссылку под курсором в новой вкладке
󰘵 + 󰌎 + 󰌑                     ; Открыть ссылку под курсором в области справа
