# Базовые                       ; 
Esc                             ; Закрыть это окно
󰘶 + 󰌎 / 󰌎 + 󱁐                   ; Смена языка ввода
󰘳 + 󱁐                           ; Открыть меню приложений
󰘳 + 󱁐 + 󰌎                       ; Открыть медиа меню
󰘳 + A                           ; Открыть меню уведомлений

# Запуск приложений             ; 
󰘳 + 󰌑                           ; Открыть основной терминал
󰘳 + 󰌑 + 󰌎                       ; Открыть дополнительный терминал

󰘳 + B                           ; Открыть основной браузер
󰘳 + B + 󰌎                       ; Открыть дополнительный браузер

󰘳 + X                           ; Открыть основной редактор кода
󰘳 + X + 󰌎                       ; Открыть дополнительный редактор кода

󰘳 + Z                           ; Открыть основной инструмент
󰘳 + Z + 󰌎                       ; Открыть дополнительный инструмент

󰘳 + I                           ; Открыть основной блокнот
󰘳 + I + 󰌎                       ; Открыть дополнительный блокнот

󰘳 + D                           ; Открыть основной системный инструмент
󰘳 + D + 󰌎                       ; Открыть дополнительный системный инструмент

󰘳 + T                           ; Открыть основную соц-сеть
󰘳 + T + 󰌎                       ; Открыть дополнительную соц-сеть

󰘳 + C                           ; Открыть буфер обмена
󰘳 + E                           ; Открыть выбор эмодзи
󰘳 + M                           ; Открыть аудио плеер

# Быстрые настройки             ; 
󰘳 + 󰘵 + W                       ; Открыть меню выбора обоев 
󰘳 + 󰘵 + L                       ; Перезапустить окружение
  
󰘳 + O                           ; Выбор прозрачности окон 
󰘳 + O + 󰌎                       ; Выбор размытия окон 
󰘳 + O + 󰘵                       ; Вкл/Выкл отображения Бар-меню
󰘳 + 󰘶 + G                       ; Вкл/Выкл всех анимаций Hyprland 

# Сохранение экрана             ; 
󰘳 + S                           ; Скриншот всего экрана + Редактирование
Prtscr                          ; Скриншот всего экрана + Редактирование
󰘳 + 󰘶 + S                       ; Скриншот активного окна + Редактирование
󰘶 + Prtscr                      ; Скриншот активного окна + Редактирование
󰘳 + 󰌎 + S                       ; Скриншот области + Редактирование
󰌎 + Prtscr                      ; Скриншот области + Редактирование
󰘳 + S + 󰘵                       ; Скриншот всего экрана
Prtscr + 󰘵                      ; Скриншот всего экрана
󰘳 + 󰘶 + S + 󰘵                   ; Скриншот активного окна
󰘵 + Prtscr + 󰘵                  ; Скриншот активного окна
󰘳 + 󰌎 + S + 󰘵                   ; Скриншот области
󰘶 + Prtscr + 󰘵                  ; Скриншот области

󰘳 + R                           ; Запись всего экрана
󰘳 + R + 󰌎                       ; Запись области

󰘳 + R                           ; Запись всего экрана + Запись звука
󰘳 + R + 󰌎                       ; Запись области + Запись звука

;
# Работа с окнами               ; 
󰘳 + F                           ; Полноэкранный режим 
󰘳 + F + 󰌎                       ; Нативный полноэкранный режим (видно бар) 
󰘳 + F + 󰘵                       ; Плавающий режим 
;
󰘳 + Q                           ; Закрыть активное окно 
󰘳 + Q + 󰌎                       ; Убить активное окно
󰘳 + Q + 󰘵                       ; 
;
󰘳 + L                           ; Заблокировать устройство
󰘳 + 󰆴                           ; Заблокировать устройство
󰘳 + 󰆴 + 󰌎                       ; Открыть меню выключения устройства
󰘳 + 󰆴 + 󰘵                       ; Выход из Hyprland
;
󰘳 + [1-10]                      ; Открыть рабочий стол [1-10] 
󰘳 + Scroll-↓                    ; Переключение рабочих столов вперед
󰘳 + Scroll-↑                    ; Переключение рабочих столов назад
󰘳 + 󰌒                           ; Переключение рабочих столов вперед
󰘳 + 󰌒 + 󰘶                       ; Переключение рабочих столов назад
󰘳 + 󰘶 + [1-10]                  ; Переместить окно на рабочий стол [1-10] 
󰘳 + 󰘶 + ]                       ; Переместить окно на рабочий стол назад
󰘳 + 󰘶 + [                       ; Переместить окно на рабочий стол вперед
;
󰘳 + →/↑/←/↓                     ; Переместить фокус на другое окно
󰘳 + 󰌎 + →/↑/←/↓                 ; Передвинуть окно по рабочему столу
󰘳 + 󰘵 + →/↑/←/↓                 ; Изменить размер окна
󰘳 + 󰘶 + →/↑/←/↓                 ; Переместить окно по рабочему столу
;
󰘳 + ПКМ                         ; Изменить размер окна 
󰘳 + ЛКМ                         ; Переместить окно по рабочему столу
                        
# Медиа-клавиши                 ; 
F1                              ; Вкл/Выкл звук динамиков
󰘳 + 󰘶 +                        ; Вкл/Выкл звук динамиков
F2                              ; Уменьшить громкость динамиков на 5%
󰘳 + [-]                         ; Уменьшить громкость динамиков на 5%
F2 + 󰘵                          ; Уменьшить громкость динамиков на 2%
󰘳 + 󰌎 + [-]                     ; Уменьшить громкость динамиков на 2%
F3                              ; Увеличить громкость динамиков на 5%
󰘳 + [+]                         ; Увеличить громкость динамиков на 5%
F3 + 󰘵                          ; Увеличить громкость динамиков на 2%
󰘳 + 󰌎 + [+]                     ; Увеличить громкость динамиков на 2%
F4                              ; Вкл/Выкл микрофона
󰘳 + 󰌎 +                        ; Вкл/Выкл микрофона
;
F5                              ; Уменьшить яркость экрана на 5%
󰘳 + 󰘶 + [-]                     ; Уменьшить яркость экрана на 5%
F6                              ; Увеличить яркость экрана на 5%
󰘳 + 󰘶 + [+]                     ; Увеличить яркость экрана на 5%
󰘳 + 󰘶 + 󰌎 + [+]                 ; Уменьшить яркость экрана на 2%
󰘳 + 󰘶 + 󰌎 + [-]                 ; Увеличить яркость экрана на 2%
󰘳 + 󰘵 +                        ; Переключить яркость экрана (5 ступеней)
F8                              ; Вкл/Выкл режим полета
;
󰘳 + K                           ; Стоп/Старт воспроизведения
󰘳 + N                           ; Следующий трек
󰘳 + P                           ; Предыдущий трек

# Скрытный режим                ; 
󰘳 + 󰘵 + [1-10]                  ; Создать скрытое пространство [1-10]
󰘳 +                            ; Вкл/Выкл режим тени (Звук, Микрофон, Экран)
󰘳 + 󰘵 + 󰌑                       ; Открыть скрытый терминал
󰘳 + 󰘵 + B                       ; Открыть скрытый браузер
󰘳 + 󰘵 + C                       ; Открыть скрытый VsCode
󰘳 + 󰘵 + P                       ; Открыть скрытые пароли
󰘳 + 󰘵 + I                       ; Открыть скрытый Obsidian
;
